Date,Price,Open,High,Low,Volume,Chg%
01-01-2020,71.227,71.365,71.377,71.225,1.16K,-0.18%
02-01-2020,71.35,71.235,71.408,71.235,4.63K,0.17%
03-01-2020,71.77,71.61,71.844,71.52,7.49K,0.59%
06-01-2020,71.867,72.011,72.123,71.834,7.44K,0.14%
07-01-2020,71.845,71.765,71.923,71.67,6.69K,-0.03%
08-01-2020,71.51,71.954,72.114,71.466,7.40K,-0.47%
09-01-2020,71.21,71.51,71.544,71.134,7.00K,-0.42%
10-01-2020,70.96,71.24,71.26,70.848,7.39K,-0.35%
13-01-2020,70.71,70.805,70.945,70.71,6.16K,-0.35%
14-01-2020,70.85,70.72,70.975,70.72,6.81K,0.20%
15-01-2020,70.72,71.0,71.023,70.682,5.32K,-0.18%
16-01-2020,70.978,70.775,71.007,70.775,6.30K,0.36%
17-01-2020,71.079,70.953,71.099,70.933,6.69K,0.14%
20-01-2020,71.04,71.07,71.16,71.01,5.07K,-0.05%
21-01-2020,71.17,71.19,71.25,71.121,3.97K,0.18%
22-01-2020,71.08,71.18,71.265,71.076,5.63K,-0.13%
23-01-2020,71.4,71.19,71.465,71.169,6.19K,0.45%
24-01-2020,71.33,71.34,71.371,71.22,3.39K,-0.10%
27-01-2020,71.45,71.475,71.52,71.373,5.00K,0.17%
28-01-2020,71.2,71.432,71.432,71.2,6.62K,-0.35%
29-01-2020,71.31,71.24,71.411,71.165,7.10K,0.15%
30-01-2020,71.55,71.42,71.66,71.39,3.41K,0.34%
31-01-2020,71.555,71.575,71.578,71.294,8.25K,0.01%
03-02-2020,71.324,71.523,71.653,71.268,7.48K,-0.32%
04-02-2020,71.115,71.215,71.298,71.09,6.65K,-0.29%
05-02-2020,71.19,71.11,71.3,71.11,4.24K,0.11%
06-02-2020,71.225,71.181,71.3,71.107,6.37K,0.05%
07-02-2020,71.515,71.26,71.538,71.213,6.21K,0.41%
10-02-2020,71.29,71.4,71.457,71.285,8.31K,-0.31%
11-02-2020,71.285,71.235,71.33,71.179,6.17K,-0.01%
12-02-2020,71.306,71.211,71.391,71.211,5.72K,0.03%
13-02-2020,71.33,71.36,71.511,71.254,4.53K,0.03%
14-02-2020,71.529,71.294,71.597,71.272,6.80K,0.28%
17-02-2020,71.34,71.43,71.507,71.26,5.36K,-0.26%
18-02-2020,71.585,71.415,71.611,71.375,4.96K,0.34%
19-02-2020,71.6,71.573,71.6,71.452,0.29K,0.02%
20-02-2020,71.68,71.735,71.82,71.53,4.76K,0.11%
21-02-2020,71.88,71.665,72.056,71.665,0.16K,0.28%
24-02-2020,71.935,71.915,72.015,71.775,4.46K,0.08%
25-02-2020,71.82,71.87,71.92,71.611,4.83K,-0.16%
26-02-2020,71.58,71.833,71.873,71.532,5.63K,-0.33%
27-02-2020,71.655,71.645,71.704,71.545,5.35K,0.10%
28-02-2020,72.539,71.755,72.574,71.755,6.59K,1.23%
02-03-2020,72.882,72.52,72.954,72.028,6.08K,0.47%
03-03-2020,73.05,72.48,73.397,72.44,6.74K,0.23%
04-03-2020,73.54,73.06,73.64,72.91,7.57K,0.67%
05-03-2020,73.506,73.518,73.565,73.044,1.92K,-0.05%
06-03-2020,74.004,73.873,74.073,73.529,1.47K,0.68%
09-03-2020,74.196,73.975,74.254,73.85,6.07K,0.26%
10-03-2020,74.15,74.248,74.248,74.15,0.01K,-0.06%
11-03-2020,73.682,73.792,74.015,73.532,6.53K,-0.63%
12-03-2020,74.576,74.134,74.579,74.074,5.86K,1.21%
13-03-2020,73.84,74.561,74.561,73.732,5.26K,-0.99%
16-03-2020,74.003,74.006,74.359,73.999,4.32K,0.22%
17-03-2020,74.062,74.072,74.315,73.858,5.21K,0.08%
18-03-2020,74.55,73.974,74.55,73.924,5.63K,0.66%
19-03-2020,74.786,74.855,75.311,74.667,4.71K,0.32%
20-03-2020,75.399,74.804,75.399,74.704,4.98K,0.82%
23-03-2020,76.335,75.38,76.335,75.38,2.39K,1.24%
24-03-2020,76.379,76.079,76.386,75.95,2.04K,0.06%
25-03-2020,76.375,76.375,76.375,76.375,0,-0.01%
26-03-2020,74.889,75.864,75.954,74.889,2.33K,-1.95%
27-03-2020,75.472,74.603,75.528,74.353,0.36K,0.78%
30-03-2020,75.41,75.14,75.67,75.093,1.86K,-0.08%
31-03-2020,75.343,75.53,75.685,75.28,2.06K,-0.09%
01-04-2020,76.404,75.315,76.422,75.315,0.05K,1.41%
02-04-2020,76.4,76.387,76.431,76.346,0.08K,-0.01%
03-04-2020,76.24,75.954,76.304,75.764,2.65K,-0.21%
06-04-2020,75.975,76.253,76.268,75.902,0.10K,-0.35%
07-04-2020,75.645,75.988,76.008,75.543,1.99K,-0.43%
08-04-2020,75.945,75.638,76.405,75.638,1.77K,0.40%
09-04-2020,76.3,76.103,76.555,76.019,2.32K,0.47%
10-04-2020,75.879,75.903,75.937,75.849,0.08K,-0.55%
13-04-2020,76.249,75.881,76.449,75.881,1.96K,0.49%
14-04-2020,76.015,76.321,76.376,76.015,0.32K,-0.31%
15-04-2020,76.564,76.038,76.654,75.936,2.78K,0.72%
16-04-2020,76.805,76.638,76.927,76.563,2.43K,0.31%
17-04-2020,76.55,76.829,76.829,76.238,2.48K,-0.33%
20-04-2020,76.575,76.553,76.68,76.283,0.83K,0.03%
21-04-2020,76.975,76.585,77.006,76.585,0.93K,0.52%
22-04-2020,76.41,76.938,77.018,76.41,0.83K,-0.73%
23-04-2020,75.895,76.468,76.468,75.826,2.86K,-0.67%
24-04-2020,76.27,75.825,76.488,75.825,2.77K,0.49%
27-04-2020,76.229,76.27,76.347,76.019,2.45K,-0.05%
28-04-2020,76.065,76.127,76.45,75.815,2.52K,-0.22%
29-04-2020,75.455,76.063,76.11,75.455,3.28K,-0.80%
30-04-2020,75.08,75.405,75.43,74.91,3.69K,-0.50%
01-05-2020,75.749,75.32,75.805,75.294,0.54K,0.89%
04-05-2020,75.64,75.758,75.82,75.581,3.44K,-0.14%
05-05-2020,75.71,75.65,75.87,75.489,3.75K,0.09%
06-05-2020,76.105,75.828,76.111,75.653,3.51K,0.52%
07-05-2020,75.794,76.099,76.152,75.78,0.48K,-0.41%
08-05-2020,75.535,75.611,75.665,75.285,3.32K,-0.34%
11-05-2020,75.888,75.561,75.948,75.476,5.78K,0.47%
12-05-2020,75.062,75.971,75.993,75.049,4.05K,-1.09%
13-05-2020,75.365,75.278,75.51,75.045,3.71K,0.40%
14-05-2020,75.495,75.454,75.712,75.335,4.38K,0.17%
15-05-2020,75.83,75.521,75.95,75.416,3.56K,0.44%
18-05-2020,75.7,75.838,76.07,75.639,3.18K,-0.17%
19-05-2020,75.645,75.605,75.795,75.552,3.77K,-0.07%
20-05-2020,75.555,75.705,75.865,75.453,4.51K,-0.12%
21-05-2020,75.62,75.54,75.833,75.386,3.45K,0.09%
22-05-2020,75.95,75.663,76.018,75.633,4.41K,0.44%
25-05-2020,75.887,75.951,76.11,75.855,0.31K,-0.08%
26-05-2020,75.459,75.868,75.88,75.412,1.83K,-0.56%
27-05-2020,75.92,75.565,75.988,75.538,4.51K,0.61%
28-05-2020,75.66,75.812,75.91,75.632,5.41K,-0.34%
29-05-2020,75.605,75.705,75.755,75.448,4.31K,-0.07%
01-06-2020,75.505,75.473,75.773,75.275,5.28K,-0.13%
02-06-2020,75.1,75.553,75.628,74.97,6.13K,-0.54%
03-06-2020,75.325,75.063,75.555,75.02,5.41K,0.30%
04-06-2020,75.459,75.373,75.66,75.355,4.88K,0.18%
05-06-2020,75.56,75.432,75.725,75.325,5.18K,0.13%
08-06-2020,75.4,75.578,75.685,75.4,5.43K,-0.21%
09-06-2020,75.505,75.458,75.702,75.423,6.94K,0.14%
10-06-2020,75.635,75.532,75.676,75.419,5.34K,0.17%
11-06-2020,75.971,75.672,75.971,75.579,5.78K,0.44%
12-06-2020,76.05,75.992,76.26,75.772,7.54K,0.10%
15-06-2020,75.979,76.073,76.19,75.936,6.95K,-0.09%
16-06-2020,76.25,75.865,76.311,75.78,7.75K,0.36%
17-06-2020,76.29,76.268,76.37,76.082,7.24K,0.05%
18-06-2020,76.4,76.263,76.4,76.046,7.12K,0.14%
19-06-2020,76.26,76.349,76.373,76.093,6.08K,-0.18%
22-06-2020,75.79,76.268,76.303,75.723,6.51K,-0.62%
23-06-2020,75.503,75.802,75.916,75.455,6.08K,-0.38%
24-06-2020,75.665,75.486,75.78,75.486,6.66K,0.21%
25-06-2020,75.587,75.717,75.782,75.503,5.96K,-0.10%
26-06-2020,75.62,75.58,75.688,75.435,4.43K,0.04%
29-06-2020,75.51,75.628,75.66,75.458,5.43K,-0.15%
30-06-2020,75.545,75.523,75.628,75.425,5.84K,0.05%
01-07-2020,75.49,75.51,75.629,75.466,4.35K,-0.07%
02-07-2020,74.75,75.46,75.54,74.646,5.40K,-0.98%
03-07-2020,74.636,74.597,75.027,74.567,3.91K,-0.15%
06-07-2020,74.635,74.639,74.83,74.485,6.10K,0.00%
07-07-2020,74.81,74.645,74.979,74.635,5.59K,0.23%
08-07-2020,74.94,74.835,75.084,74.825,5.11K,0.17%
09-07-2020,75.14,74.935,75.166,74.902,6.15K,0.27%
10-07-2020,75.19,75.165,75.34,75.141,4.64K,0.07%
13-07-2020,75.187,75.195,75.237,75.082,5.96K,0.00%
14-07-2020,75.378,75.275,75.535,75.268,6.85K,0.25%
15-07-2020,75.12,75.325,75.38,75.05,7.09K,-0.34%
16-07-2020,75.17,75.115,75.295,75.107,5.25K,0.07%
17-07-2020,74.884,75.2,75.255,74.897,5.94K,-0.38%
20-07-2020,74.74,74.898,75.033,74.735,5.89K,-0.19%
21-07-2020,74.53,74.725,74.875,74.516,6.01K,-0.28%
22-07-2020,74.6,74.543,74.872,74.509,4.20K,0.09%
23-07-2020,74.81,74.625,74.961,74.6,5.88K,0.28%
24-07-2020,74.75,74.908,74.985,74.697,6.19K,-0.08%
27-07-2020,74.79,74.76,74.902,74.665,4.72K,0.05%
28-07-2020,74.907,74.785,74.943,74.707,6.41K,0.16%
29-07-2020,74.923,74.87,74.949,74.676,6.58K,0.02%
30-07-2020,74.875,74.83,74.967,74.795,5.59K,-0.06%
31-07-2020,74.916,74.75,74.939,74.685,5.49K,0.05%
03-08-2020,75.18,74.918,75.314,74.863,4.96K,0.35%
04-08-2020,75.06,75.165,75.214,74.962,3.64K,-0.16%
05-08-2020,74.796,74.982,75.03,74.763,6.17K,-0.35%
06-08-2020,74.89,74.875,75.017,74.777,5.71K,0.13%
07-08-2020,75.012,75.073,75.112,74.891,5.55K,0.16%
10-08-2020,74.87,75.025,75.025,74.857,1.03K,-0.19%
11-08-2020,74.61,74.855,74.887,74.522,3.19K,-0.35%
12-08-2020,74.79,74.615,74.935,74.615,3.34K,0.24%
13-08-2020,74.811,74.775,74.933,74.769,2.87K,0.03%
14-08-2020,74.874,74.89,74.978,74.734,3.21K,0.08%
17-08-2020,74.743,74.903,74.921,74.715,3.09K,-0.17%
18-08-2020,74.57,74.74,74.886,74.575,3.22K,-0.23%
19-08-2020,74.846,74.655,74.935,74.628,3.52K,0.37%
20-08-2020,75.012,74.973,75.132,74.935,3.70K,0.22%
21-08-2020,74.92,74.98,75.005,74.82,3.16K,-0.12%
24-08-2020,74.168,74.922,74.922,73.962,4.90K,-1.00%
25-08-2020,74.202,74.1,74.517,74.07,6.79K,0.05%
26-08-2020,74.217,74.225,74.459,74.193,6.88K,0.02%
27-08-2020,73.894,74.29,74.37,73.782,4.04K,-0.44%
28-08-2020,73.114,73.827,73.878,73.116,6.66K,-1.06%
31-08-2020,73.254,73.115,73.702,73.05,4.53K,0.19%
01-09-2020,73.002,73.215,73.225,72.753,6.38K,-0.34%
02-09-2020,73.268,73.143,73.32,72.893,7.79K,0.36%
03-09-2020,73.389,73.225,73.57,73.151,6.89K,0.17%
04-09-2020,73.289,73.48,73.505,73.006,7.23K,-0.14%
07-09-2020,73.444,73.291,73.508,73.027,7.29K,0.21%
08-09-2020,73.74,73.63,73.974,73.385,8.43K,0.40%
09-09-2020,73.3,73.787,73.832,73.31,7.93K,-0.60%
10-09-2020,73.43,73.462,73.508,73.155,7.66K,0.18%
11-09-2020,73.43,73.535,73.628,73.405,5.87K,0.00%
14-09-2020,73.37,73.48,73.605,73.265,1.14K,-0.08%
15-09-2020,73.6,73.395,73.735,73.312,4.29K,0.31%
16-09-2020,73.53,73.595,73.779,73.465,4.40K,-0.10%
17-09-2020,73.6,73.715,73.784,73.581,3.84K,0.10%
18-09-2020,73.538,73.475,73.613,73.144,4.47K,-0.08%
21-09-2020,73.57,73.535,73.649,73.26,3.60K,0.04%
22-09-2020,73.51,73.575,73.645,73.385,3.36K,-0.08%
23-09-2020,73.57,73.503,73.635,73.43,1.88K,0.08%
24-09-2020,73.9,73.835,74.055,73.765,3.90K,0.45%
25-09-2020,73.67,73.735,73.788,73.566,2.96K,-0.31%
28-09-2020,73.75,73.685,73.862,73.526,5.66K,0.11%
29-09-2020,73.75,73.785,73.918,73.716,3.48K,0.00%
30-09-2020,73.56,73.817,73.865,73.522,3.86K,-0.26%
01-10-2020,73.193,73.595,73.61,73.021,3.98K,-0.50%
02-10-2020,73.29,73.239,73.45,73.239,0.17K,0.13%
05-10-2020,73.11,73.295,73.481,73.07,3.39K,-0.25%
06-10-2020,73.434,73.093,73.518,73.093,3.37K,0.44%
07-10-2020,73.33,73.55,73.613,73.254,4.81K,-0.14%
08-10-2020,73.29,73.33,73.381,73.185,5.08K,-0.05%
09-10-2020,73.01,73.15,73.265,72.969,4.22K,-0.38%
12-10-2020,73.363,73.015,73.428,73.015,3.96K,0.48%
13-10-2020,73.4,73.351,73.475,73.245,4.09K,0.05%
14-10-2020,73.24,73.395,73.466,73.193,5.37K,-0.22%
15-10-2020,73.42,73.295,73.52,73.204,5.15K,0.25%
16-10-2020,73.442,73.407,73.451,73.255,4.91K,0.03%
19-10-2020,73.35,73.444,73.444,73.289,3.20K,-0.13%
20-10-2020,73.44,73.342,73.558,73.295,4.58K,0.12%
21-10-2020,73.59,73.44,73.763,73.357,4.32K,0.20%
22-10-2020,73.66,73.68,73.808,73.519,4.65K,0.10%
23-10-2020,73.829,73.645,73.887,73.471,2.87K,0.23%
26-10-2020,73.96,73.842,74.115,73.692,4.16K,0.18%
27-10-2020,73.622,73.938,74.021,73.599,4.55K,-0.46%
28-10-2020,74.18,73.729,74.271,73.647,5.79K,0.76%
29-10-2020,74.37,74.23,74.533,73.938,6.74K,0.26%
30-10-2020,74.554,74.32,74.712,74.24,2.94K,0.25%
02-11-2020,74.5,74.567,74.567,74.265,4.32K,-0.07%
03-11-2020,74.61,74.422,74.635,74.247,4.57K,0.15%
04-11-2020,74.365,74.598,75.015,74.337,7.36K,-0.33%
05-11-2020,73.91,74.317,74.41,73.914,6.77K,-0.61%
06-11-2020,73.974,74.03,74.286,73.86,7.50K,0.09%
09-11-2020,74.03,73.976,74.175,73.637,6.50K,0.08%
10-11-2020,74.28,73.955,74.478,73.948,6.83K,0.34%
11-11-2020,74.439,74.17,74.522,74.17,6.19K,0.21%
12-11-2020,74.68,74.438,74.76,74.365,6.09K,0.32%
13-11-2020,74.561,74.662,74.725,74.464,5.53K,-0.16%
16-11-2020,74.37,74.59,74.59,74.38,1.92K,-0.26%
17-11-2020,74.47,74.345,74.635,74.345,5.77K,0.13%
18-11-2020,74.11,74.475,74.53,74.058,6.42K,-0.48%
19-11-2020,74.1,74.313,74.349,74.103,5.37K,-0.01%
20-11-2020,74.11,74.165,74.211,74.056,4.56K,0.01%
23-11-2020,74.25,74.12,74.277,74.005,4.88K,0.19%
24-11-2020,74.078,74.244,74.244,73.869,5.55K,-0.23%
25-11-2020,73.769,73.97,74.017,73.743,5.27K,-0.42%
26-11-2020,73.832,73.792,73.913,73.72,5.35K,0.09%
27-11-2020,73.933,73.837,74.116,73.742,5.44K,0.14%
30-11-2020,73.99,73.935,74.025,73.873,3.73K,0.08%
01-12-2020,73.482,74.025,74.025,73.445,6.80K,-0.69%
02-12-2020,73.76,73.5,73.836,73.402,5.98K,0.38%
